01G-QSS4:Curr1,02G-QSS3:Curr1,05G-QSS3:Curr1,07G-QSS2:Curr1,08G-QSS2:Curr1,09G-QSS1:Curr1,10G-QSS4:Curr1,11G-QSS3:Curr1,12G-QSS3:Curr1,14G-QSS2:Curr1,16G-QSS2:Curr1,17G-QSS2:Curr1,18G-QSS1:Curr1,objective
0.560533,-0.235897,0.66562,-0.421541,-0.091723,0.55213,0.58263,-0.237703,-0.400443,0.67852,-0.420219,-0.085551,0.522797,-0.394032
1.467495,-0.617587,1.742617,-1.10361,-0.240133,1.445495,1.525346,-0.622314,-1.048375,1.776388,-1.100147,-0.223976,1.368701,-0.35292
2.812776,-1.18374,3.340105,-2.115309,-0.460267,2.770607,2.923659,-1.1928,-2.009439,3.404836,-2.108671,-0.4293,2.623414,-0.279702
-0.560533,0.235897,-0.66562,0.421541,0.091723,-0.55213,-0.58263,0.237703,0.400443,-0.67852,0.420219,0.085551,-0.522797,-0.432313
-1.467495,0.617587,-1.742617,1.10361,0.240133,-1.445495,-1.525346,0.622314,1.048375,-1.776388,1.100147,0.223976,-1.368701,-0.408267
-2.812776,1.18374,-3.340105,2.115309,0.460267,-2.770607,-2.923659,1.1928,2.009439,-3.404836,2.108671,0.4293,-2.623414,-0.362108
-4.158056,1.749893,-4.937594,3.127008,0.680402,-4.095718,-4.321972,1.763287,2.970503,-5.033283,3.117196,0.634623,-3.878128,-0.307397
-0.90717,1.114772,-0.762476,0.960792,-0.56326,-0.41847,-0.942097,1.118824,0.65011,-0.979697,1.006753,-0.576104,-0.404212,-0.394935
-1.007463,2.342991,-0.372267,1.486947,-1.698412,0.251468,-1.044993,2.349195,0.725044,-0.909488,1.610503,-1.71698,0.217232,-0.347534
-1.156227,4.164786,0.206523,2.267384,-3.38216,1.245174,-1.197617,4.17418,0.836192,-0.805348,2.506035,-3.40922,1.139009,-0.285798
-0.783201,-0.40339,-1.2448,0.310428,0.839864,-1.246559,-0.814911,-0.401997,0.557486,-1.06648,0.260477,0.834097,-1.17236,-0.385668
-0.682907,-1.631609,-1.635009,-0.215727,1.975015,-1.916497,-0.712015,-1.632367,0.482552,-1.136688,-0.343273,1.974973,-1.793804,-0.476029
-0.534144,-3.453404,-2.213799,-0.996164,3.658763,-2.910203,-0.559391,-3.457353,0.371404,-1.240828,-1.238804,3.667213,-2.715581,-0.43505
-0.385381,-5.275198,-2.792588,-1.776601,5.342512,-3.90391,-0.406767,-5.282339,0.260256,-1.344967,-2.134335,5.359454,-3.637358,-0.364766
-0.247261,-1.64319,-1.466738,0.505662,2.479284,-1.664171,-0.278508,-1.642208,1.309109,-0.898967,0.368247,2.469325,-1.58691,-0.455173
0.457629,-1.66193,-1.194469,1.672895,3.295208,-1.255898,0.422921,-1.658131,2.646505,-0.514327,1.51951,3.269205,-1.252147,-0.403443
1.50318,-1.689725,-0.790617,3.40423,4.505453,-0.650315,1.463338,-1.681749,4.630241,0.056204,3.227157,4.455651,-0.755601,-0.348122
-1.118554,-1.620027,-1.803281,-0.937117,1.470746,-2.168823,-1.145522,-1.622527,-0.344004,-1.37441,-1.054792,1.48062,-2.000698,-0.496767
-1.823444,-1.601288,-2.07555,-2.10435,0.654822,-2.577095,-1.846951,-1.606604,-1.6814,-1.75905,-2.206055,0.680741,-2.335461,-0.474337
-2.868995,-1.573492,-2.479401,-3.835685,-0.555424,-3.182678,-2.887368,-1.582986,-3.665136,-2.329581,-3.913702,-0.505706,-2.832007,-0.447531
-3.914546,-1.545697,-2.883253,-5.56702,-1.765669,-3.788261,-3.927785,-1.559368,-5.648872,-2.900111,-5.621349,-1.692152,-3.328554,-0.384607
-1.305352,-2.438376,-1.747192,-0.621278,0.759927,-2.048482,-1.196242,-2.439937,0.045621,-1.321681,-0.736971,0.779808,-2.182568,-0.498847
-1.607599,-3.762492,-1.656438,-0.11024,-0.390203,-1.853767,-1.278308,-3.762534,0.676048,-1.236365,-0.222726,-0.354129,-2.476839,-0.425562
-2.055916,-5.726529,-1.521825,0.647773,-2.096169,-1.564949,-1.400036,-5.724317,1.611148,-1.109817,0.540045,-2.036077,-2.913326,-0.36976
-0.931755,-0.801679,-1.859369,-1.252956,2.181565,-2.289164,-1.094802,-0.805117,-0.733629,-1.427138,-1.372613,2.181432,-1.818829,-0.508681
-0.629508,0.522437,-1.950123,-1.763994,3.331695,-2.483879,-1.012735,0.51748,-1.364056,-1.512454,-1.886859,3.315369,-1.524558,-0.476957
-0.181191,2.486474,-2.084736,-2.522007,5.037661,-2.772697,-0.891007,2.479264,-2.299156,-1.639002,-2.649629,4.997317,-1.088071,-0.420916
