sig_sd,ls,noise_sd,lml
3.358,7.329,4.173,-69.416
9.966,11.417,4.346,-67.822
6.7,1.301,8.941,-69.737
6.33,2.203,4.396,-65.325
8.611,2.82,5.188,-65.507
5.941,1.479,4.835,-65.815
6.519,1.934,3.593,-66.644
16.939,21.88,5.541,-68.414
5.77,6.704,6.477,-66.347
10.269,5.617,5.202,-66.121
7.47,2.429,4.058,-65.7
4.93,1.004,6.527,-67.6
6.292,5.132,4.717,-65.551
6.397,3.868,3.469,-67.347
6.825,1.15,3.274,-67.229
8.186,4.095,5.205,-65.34
5.43,10.33,5.497,-66.823
3.513,2.434,3.884,-67.69
11.691,16.816,4.884,-68.061
15.236,6.66,5.764,-67.413
5.509,1.689,6.059,-66.195
6.358,1.337,4.556,-65.972
5.286,4.236,6.877,-66.372
23.4,5.92,5.525,-68.937
7.786,1.231,5.662,-66.814
5.728,1.069,4.301,-66.486
4.68,2.236,7.572,-67.399
13.047,5.411,5.64,-66.854
4.158,1.193,4.249,-67.542
31.417,6.19,6.889,-71.189
6.898,2.891,6.359,-65.927
8.163,2.828,3.743,-66.303
0.016,102.857,6.586,-72.362
6.354,1.562,3.9,-66.203
6.927,3.592,6.73,-66.237
5.066,2.351,4.318,-65.468
7.46,2.877,4.599,-65.138
11.655,3.551,6.343,-67.08
4.248,2.108,4.065,-66.466
7.489,4.534,4.721,-65.379
3.514,2.419,5.514,-66.328
22.305,6.16,4.56,-68.828
6.159,5.689,4.714,-65.762
9.387,2.99,7.146,-67.386
5.391,13.259,5.153,-67.991
4.913,1.68,6.105,-66.321
19.877,7.693,4.592,-68.486
6.305,3.648,5.555,-65.158
7.066,2.786,4.875,-65.055
5.364,4.222,5.526,-65.295
