sig_sd,ls,noise_sd,lml
22.365,20.907,7.099,-150.914
23.489,17.66,6.479,-151.578
35.943,12.482,6.749,-152.947
27.746,27.669,7.363,-152.297
26.69,11.284,6.509,-152.453
33.486,11.606,6.372,-153.694
16.528,10.45,7.519,-151.365
34.199,33.283,6.358,-157.282
32.44,12.096,8.617,-151.965
30.483,14.122,7.644,-150.914
17.512,17.31,7.441,-150.816
43.203,47.499,7.686,-157.902
17.18,19.6,7.781,-151.124
30.808,17.664,6.642,-151.492
46.4,29.713,8.763,-152.07
19.91,9.262,7.064,-151.765
27.834,14.06,7.718,-150.62
12.735,19.219,8.032,-153.496
54.248,40.155,8.739,-154.752
26.769,22.884,7.683,-150.541
18.355,12.099,7.593,-150.717
18.323,15.531,7.157,-150.772
33.391,11.805,6.743,-152.811
40.533,14.387,8.315,-152.174
16.597,19.474,7.506,-151.445
18.611,15.016,7.627,-150.422
23.325,17.473,7.452,-150.131
15.797,9.153,7.527,-151.99
13.478,14.143,8.997,-152.771
31.656,16.907,5.936,-153.883
14.528,17.67,7.043,-152.541
21.925,8.994,10.1,-153.427
33.698,17.916,9.645,-151.646
11.724,10.167,8.133,-154.278
24.81,17.307,8.272,-150.063
32.013,15.244,8.792,-151.151
28.164,12.73,9.688,-152.189
21.637,17.773,7.677,-150.105
19.243,11.811,7.775,-150.652
16.649,12.486,7.897,-150.946
