sig_sd,ls,noise_sd,lml
18.798,46.358,12.629,-248.478
24.236,35.241,12.385,-247.489
16.815,18.743,12.289,-248.578
30.452,17.259,14.734,-248.699
23.647,25.635,13.672,-247.252
39.797,31.897,12.462,-247.609
18.893,8.191,12.373,-249.39
33.431,130.006,14.245,-247.99
28.728,13.674,12.329,-248.789
27.59,19.377,15.529,-248.973
37.355,17.048,14.369,-249.05
31.26,20.193,14.46,-248.232
33.506,12.323,13.398,-249.142
122.246,54.925,13.822,-249.399
41.946,45.303,16.844,-250.106
17.405,25.715,14.236,-248.068
32.473,14.852,16.139,-250.472
20.029,32.836,11.658,-248.553
39.661,104.713,14.876,-247.728
37.372,22.824,14.116,-248.185
52.732,25.292,14.517,-249.222
31.171,22.8,11.497,-248.77
21.541,40.05,15.275,-248.482
32.297,43.667,12.659,-247.369
25.407,29.378,12.58,-247.226
44.33,23.388,15.294,-249.459
35.127,112.439,13.568,-247.477
23.037,15.83,13.799,-248.044
62.368,160.279,12.716,-247.543
24.204,29.302,12.934,-247.141
50.771,31.254,10.841,-250.535
23.777,16.035,13.591,-247.976
29.339,35.373,13.019,-247.1
17.195,15.769,15.42,-249.538
16.642,7.777,11.588,-250.539
20.287,5.97,14.423,-250.3
22.45,32.743,14.261,-247.539
28.578,33.139,11.284,-248.609
24.776,54.406,14.868,-248.074
24.483,33.298,14.158,-247.389
32.763,16.413,11.505,-249.635
15.2,37.152,12.086,-249.601
20.717,11.579,16.001,-250.179
25.801,48.193,13.239,-247.498
49.278,30.765,13.586,-248.045
21.197,7.527,13.278,-249.312
24.629,32.547,13.109,-247.135
39.66,60.319,13.374,-247.403
20.755,10.363,13.234,-248.632
29.911,31.19,12.37,-247.332
