sig_sd,ls,noise_sd,lml
7.244,3.591,2.629,-114.355
8.474,3.594,3.278,-113.991
12.538,3.707,3.625,-115.542
15.244,5.335,3.062,-115.085
12.779,2.78,3.164,-116.273
10.251,3.166,3.833,-116.262
11.285,3.886,3.012,-113.8
13.902,3.149,3.231,-116.016
8.304,3.018,2.767,-114.118
10.849,4.651,3.171,-114.123
5.474,4.686,3.422,-117.461
10.517,5.795,2.551,-117.822
6.39,3.736,3.208,-114.822
8.962,3.501,3.17,-113.852
10.245,6.705,3.388,-116.467
11.033,4.317,3.565,-114.728
16.909,3.528,3.683,-117.623
22.521,4.326,3.043,-116.627
3.932,2.842,3.983,-123.067
8.636,4.963,2.925,-115.023
12.586,3.287,2.366,-116.197
12.657,3.944,2.673,-114.343
11.099,3.97,3.631,-114.97
10.869,4.211,2.944,-113.689
9.309,3.768,2.731,-113.708
10.86,5.032,3.16,-114.565
14.524,2.556,2.554,-118.075
12.942,4.245,3.664,-115.361
11.455,4.06,3.785,-115.498
7.743,3.739,3.168,-113.925
14.278,4.962,3.047,-114.593
8.201,3.04,3.799,-115.971
4.872,2.842,3.519,-118.284
18.934,6.764,3.764,-117.303
11.906,4.044,4.457,-118.142
9.307,3.342,2.654,-114.067
11.175,5.281,4.539,-118.36
15.591,5.868,2.892,-115.983
9.386,3.255,3.91,-116.196
13.021,2.637,2.757,-116.584
5.704,5.308,2.812,-119.086
7.41,3.786,4.329,-117.525
6.466,3.306,3.483,-115.316
3.534,3.247,2.854,-124.055
7.931,4.973,3.196,-115.226
13.739,3.368,2.869,-115.174
9.169,4.18,3.717,-115.069
9.244,3.484,2.554,-114.26
6.275,4.607,3.167,-115.997
7.712,3.634,2.954,-113.759
