sig_sd,ls,noise_sd,lml
23.371,3.983,2.791,-117.528
8.962,3.297,2.939,-113.811
11.054,6.561,3.258,-116.347
12.214,3.584,3.323,-114.791
8.676,3.377,3.519,-114.712
7.746,3.825,3.286,-114.131
8.651,2.715,2.666,-114.711
16.661,4.291,3.239,-115.244
13.658,3.037,2.782,-115.784
7.556,3.28,2.81,-113.954
18.55,3.474,2.649,-117.116
11.307,3.725,3.432,-114.624
12.605,3.442,2.843,-114.635
5.544,2.438,2.856,-116.658
7.634,4.338,3.414,-114.768
7.518,3.538,3.069,-113.894
6.457,3.643,3.15,-114.643
8.469,4.472,3.036,-114.167
20.846,4.707,2.635,-116.197
16.927,4.237,3.479,-115.902
7.629,3.066,3.115,-114.228
9.837,2.278,2.344,-117.531
11.332,4.531,2.796,-114.047
8.307,5.534,3.003,-116.159
6.316,4.167,3.236,-115.325
8.276,4.333,2.983,-114.049
9.929,4.867,3.618,-115.176
10.234,2.348,2.793,-116.187
11.915,3.772,2.763,-114.103
8.478,2.55,3.018,-114.997
10.332,5.875,3.37,-115.796
14.627,4.083,3.17,-114.717
12.497,4.05,3.417,-114.65
10.906,3.924,2.639,-114.049
9.743,6.812,3.58,-116.635
11.916,4.055,3.511,-114.756
9.962,3.93,2.933,-113.566
13.437,3.5,2.405,-116.058
7.768,3.251,2.802,-113.927
9.17,3.78,2.986,-113.557
9.548,3.31,2.857,-113.883
13.34,3.737,3.038,-114.531
7.633,3.493,3.896,-115.935
21.241,4.801,2.775,-115.962
9.044,3.562,2.652,-113.916
46.041,8.771,3.126,-119.664
22.319,5.816,3.533,-116.966
12.185,3.816,3.503,-114.964
12.637,2.997,2.744,-115.448
7.139,3.644,2.575,-114.614
