sig_sd,ls,noise_sd,lml
11.613,4.29,3.055,-113.837
10.03,4.068,3.547,-114.56
7.43,5.013,3.115,-115.617
10.034,3.546,3.06,-113.818
10.236,4.326,3.744,-115.193
7.512,3.76,3.087,-113.925
11.26,4.788,2.874,-114.268
14.946,4.429,3.031,-114.478
13.521,3.512,2.823,-114.881
9.514,3.765,2.863,-113.575
11.078,4.875,3.179,-114.372
10.417,6.082,3.202,-116.027
6.395,2.95,3.134,-114.951
10.693,4.339,2.974,-113.743
12.111,2.777,2.824,-115.672
7.483,3.752,3.223,-114.105
8.933,3.939,3.355,-114.066
7.623,4.134,3.421,-114.609
6.933,2.89,3.123,-114.671
6.956,3.207,2.907,-114.198
16.808,2.951,3.195,-117.773
6.184,5.149,3.35,-116.985
13.566,4.257,2.85,-114.187
12.68,2.809,2.537,-116.278
12.898,3.37,2.759,-114.913
4.593,4.904,2.921,-120.66
7.84,4.205,3.406,-114.54
6.474,4.288,3.446,-115.604
13.665,4.496,4.337,-117.874
12.742,3.99,2.463,-115.106
12.734,4.167,3.141,-114.129
8.728,3.787,2.424,-114.853
5.68,4.468,3.543,-116.992
9.275,4.547,3.361,-114.395
12.968,3.534,3.002,-114.653
11.121,4.66,3.134,-114.1
13.828,3.446,3.448,-115.894
11.555,3.346,2.625,-114.698
11.434,4.418,2.843,-113.896
10.763,3.989,2.738,-113.805
8.482,3.5,3.392,-114.289
8.389,3.554,2.763,-113.733
6.047,3.522,3.2,-115.118
12.198,2.872,3.025,-115.567
11.609,3.475,2.171,-117.368
10.912,4.428,2.377,-115.605
6.894,2.992,3.635,-115.758
13.427,3.802,2.469,-115.401
5.708,2.466,2.939,-116.338
9.555,3.716,3.055,-113.636
