sig_sd,ls,noise_sd,lml
28.04,18.127,18.536,-340.903
14.947,22.713,16.005,-337.351
7.753,12.05,15.549,-341.135
11.443,16.324,12.759,-339.471
12.553,12.568,13.666,-338.442
13.779,24.009,14.619,-337.507
15.374,15.579,15.0,-336.952
17.194,21.226,14.048,-336.868
15.934,19.228,13.791,-337.044
11.666,24.007,13.905,-338.659
6.343,11.59,14.307,-344.29
18.646,16.928,12.89,-338.41
13.45,14.06,14.759,-337.356
9.839,18.317,15.293,-338.386
29.323,18.807,15.621,-337.893
13.107,19.421,15.405,-337.118
21.421,10.545,14.227,-339.606
15.671,17.77,12.286,-339.652
37.169,20.704,13.604,-338.797
12.764,33.553,13.448,-341.131
15.392,23.0,14.669,-337.014
24.516,20.169,13.052,-338.198
20.031,14.497,14.811,-337.533
15.38,17.368,16.117,-337.222
9.128,21.997,16.09,-339.465
21.435,24.324,15.267,-336.898
16.69,14.444,13.487,-337.939
16.069,23.443,12.813,-338.871
16.419,10.443,17.364,-340.1
34.945,14.125,14.766,-340.314
10.027,12.223,15.201,-338.898
15.55,24.925,16.629,-338.0
28.764,20.005,16.903,-338.609
11.536,20.118,15.189,-337.603
26.228,27.839,17.007,-338.548
15.823,17.943,15.811,-336.972
14.01,20.127,14.629,-336.913
18.79,21.289,16.029,-337.037
27.429,18.928,15.041,-337.444
12.045,14.337,14.261,-337.699
13.724,11.857,16.416,-338.584
18.146,15.927,14.468,-337.016
8.398,19.091,14.584,-339.774
12.984,22.07,15.398,-337.391
35.021,18.446,16.261,-339.136
5.083,12.133,16.838,-346.968
28.95,46.011,16.237,-339.883
15.63,19.38,14.171,-336.818
17.388,9.862,14.311,-339.151
19.315,15.357,15.877,-337.529
