sig_sd,ls,noise_sd,lml
18.229,14.337,13.403,-338.202
22.223,14.323,15.427,-338.013
23.752,12.568,16.894,-339.941
19.25,18.34,17.402,-338.444
15.286,14.217,14.389,-337.295
13.526,13.698,13.098,-338.719
13.392,21.252,13.942,-337.485
13.519,18.368,14.819,-336.914
12.076,17.871,14.728,-337.277
19.254,21.924,15.97,-337.024
10.426,10.8,14.071,-339.442
10.82,15.313,15.704,-338.058
20.774,24.907,13.286,-337.946
28.027,11.15,13.719,-341.131
20.791,30.936,14.42,-338.264
15.154,13.674,17.142,-338.719
11.074,15.075,13.493,-338.557
22.117,14.612,13.866,-338.179
29.083,22.025,15.136,-337.237
9.566,14.627,14.882,-338.694
12.433,11.999,14.816,-338.06
13.939,11.299,16.087,-338.533
17.814,11.992,16.724,-339.011
16.239,9.961,13.273,-339.907
20.118,19.3,14.887,-336.666
13.902,19.376,14.59,-336.895
19.346,16.672,14.485,-336.966
20.622,26.246,16.255,-337.632
21.876,17.815,12.895,-338.535
21.229,18.913,15.695,-337.019
13.341,21.646,13.864,-337.621
15.95,16.337,15.01,-336.833
21.79,35.872,14.47,-339.187
18.734,16.066,14.923,-336.993
16.371,13.922,16.847,-338.395
13.559,20.181,13.17,-338.187
18.091,18.866,14.203,-336.741
14.911,16.222,14.048,-337.094
13.874,16.416,12.944,-338.454
29.599,20.719,12.982,-338.762
12.072,11.202,15.832,-338.64
19.546,20.296,14.357,-336.671
27.864,13.928,16.063,-339.471
9.642,15.039,14.296,-338.747
15.518,23.209,12.538,-339.531
14.208,16.227,16.313,-337.545
17.767,26.956,16.148,-337.772
20.746,15.684,14.914,-337.293
21.612,20.566,14.382,-336.746
11.315,11.438,14.342,-338.661
