,L_tril,mu,mu_implicit,rho_implicit
alpha_8,,,0.1204325849468968,0.014737922964260335
log_alpha8,0.019175559278564732,-2.123171778476036,,
log_l10,0.2786857333018079,-2.0036286524697458,,
log_l2,0.04284798871921112,4.93235746960618,,
log_l4,-0.0016575504486665779,4.657057846011564,,
log_l5,0.03540793974354222,0.44574093153763045,,
log_l7,0.15974013026173778,0.780342082275985,,
log_n11,0.11293955025684949,-1.6208814971100944,,
log_s1,0.05694221859251176,6.063601539804038,,
log_s3,0.22423828225690648,1.118710768527731,,
log_s6,0.01845597968223175,0.29140375737116025,,
log_s9,0.15234815629337706,-1.7212796092014149,,
ls_10,,,0.13890534786553776,0.03611085476754137
ls_2,,,152.85705323796032,74.98374877106886
ls_4,,,113.94941484939604,49.32087495218417
ls_5,,,1.590707953453133,0.3306336703699813
ls_7,,,2.273137359157238,0.735749719403423
n_11,,,0.19804638832268495,0.011496822568754091
s_1,,,503.52602056699885,322.0755215308625
s_3,,,3.3818049101384653,1.601053056911249
s_6,,,1.3796773598071455,0.38968270607021255
s_9,,,0.18057689441321656,0.027267945366035693
