,mean,sd,mc_error,hpd_2.5,hpd_97.5,Acc Rate
log_s1,5.379,0.263,0.013,4.879,5.872,0.774
log_s6,0.125,0.242,0.013,-0.416,0.545,0.774
log_alpha8,-2.112,0.047,0.002,-2.203,-2.023,0.774
log_l2,4.59,0.31,0.015,3.967,5.145,0.774
log_l4,4.541,0.274,0.016,4.079,4.999,0.774
log_l5,-0.238,0.184,0.008,-0.613,0.094,0.774
log_l7,0.509,0.384,0.026,-0.42,1.149,0.774
log_l10,-2.38,1.089,0.075,-3.533,-1.072,0.774
ls_2,103.291,32.318,1.602,51.979,169.806,0.774
ls_4,97.31,25.982,1.618,58.996,148.1,0.774
ls_5,0.802,0.151,0.007,0.542,1.099,0.774
ls_7,1.775,0.585,0.034,0.551,2.832,0.774
ls_10,0.115,0.044,0.002,0.0,0.172,0.774
log_s3,1.104,0.419,0.021,0.415,1.976,0.774
log_s9,-2.138,1.287,0.113,-5.385,-1.39,0.774
s_1,224.758,65.185,3.48,124.216,345.636,0.774
s_3,3.315,1.633,0.094,1.182,6.448,0.774
s_6,1.169,0.307,0.015,0.647,1.702,0.774
s_9,0.155,0.049,0.004,0.0,0.207,0.774
alpha_8,0.121,0.006,0.0,0.11,0.132,0.774
log_n11,-1.652,0.064,0.004,-1.807,-1.549,0.774
n_11,0.192,0.012,0.001,0.164,0.212,0.774
