,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
log_s,3.570,0.104,0.004,3.361,3.768,596.161,1.000
log_ls__0,6.118,0.170,0.006,5.801,6.454,942.495,1.005
log_ls__1,5.971,0.178,0.006,5.639,6.329,882.002,1.000
log_ls__2,5.466,0.404,0.017,4.731,6.261,588.962,0.999
log_ls__3,3.332,0.105,0.004,3.112,3.524,675.673,0.999
log_ls__4,3.021,0.221,0.008,2.605,3.449,647.866,0.999
log_ls__5,5.379,0.280,0.015,4.913,5.996,324.012,1.000
log_ls__6,5.625,0.176,0.006,5.290,5.989,926.564,0.999
log_ls__7,4.139,0.100,0.004,3.929,4.327,843.060,0.999
log_n,0.673,0.019,0.001,0.633,0.707,707.688,1.003
s,35.714,3.792,0.149,28.585,42.981,581.845,1.000
ls__0,460.767,78.844,2.651,330.721,635.389,924.768,1.005
ls__1,398.286,72.457,2.491,270.638,541.433,845.690,1.000
ls__2,257.044,111.277,4.653,89.867,472.549,610.105,0.999
ls__3,28.162,2.997,0.111,22.473,33.914,676.929,0.999
ls__4,21.019,4.844,0.205,13.091,30.560,528.266,0.999
ls__5,227.006,84.380,4.501,115.147,366.782,310.749,1.000
ls__6,281.485,49.848,1.564,187.606,381.976,949.561,0.999
ls__7,63.033,6.296,0.222,50.671,75.463,834.811,0.999
n,1.959,0.036,0.001,1.884,2.028,707.956,1.003
