,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
log_s,3.4714832907471482,0.3281248447804552,0.019121300190762656,2.8769015435263685,4.106317785708089,168.3669945047849,0.9990107123743263
log_n,-0.4248175548871581,0.02366569326505709,0.0007894266100573099,-0.4696699460847526,-0.3777799711398005,768.2702986618104,0.9997361270213985
log_ls__0,-0.894498315514738,0.7941865870116145,0.05973254154103128,-1.8373576838671903,0.7837121230966396,59.426538563094056,1.0162965242999906
log_ls__1,6.059827716858401,0.5896249775775132,0.02712167651560359,5.02972322028207,7.447062631868245,549.4677003236256,0.999000376214744
log_ls__2,4.109570714402892,0.14795059932594656,0.008256467096348483,3.8093328672697515,4.361626727384907,177.61624875411408,0.9997796329582578
log_ls__3,5.2102659533941065,0.5709573917515715,0.025588358439181856,4.295003556223583,6.481651074851694,268.62512589817214,1.0045273209073973
log_ls__4,2.5267147411654753,0.9061444009442571,0.039154920899823364,1.0620717722166877,4.434940600657607,559.8768200083754,0.9991889858317105
log_ls__5,5.533083588447397,0.6182373431067795,0.02876545625516681,4.416901046038385,6.735033061734797,261.81467961033815,0.9990446411830265
log_ls__6,0.6862631175588328,0.33303660890126197,0.016558226903283024,0.06945123821098251,1.3071288515998805,250.86746658519164,0.9989997197477054
log_ls__7,1.2693553934134358,0.110624446721247,0.00610038852751952,1.0457580456289108,1.4727426292770516,194.1999914288829,0.9990086467967763
s,34.008059079457865,11.834929748510268,0.6732093957585131,16.594005547454152,57.63647615125607,200.18007539513843,0.9990041356178025
ls__0,1.0542906020593912,5.109501598925533,0.35930110260168735,0.09519612656552036,1.7255939402899134,84.81240055145278,1.011095922810918
ls__1,526.0320781001805,451.88254289407405,23.668711036605394,101.95774133860121,1349.7712572877715,440.34981146816,0.9990095907735006
ls__2,61.5842409848969,9.013004363134101,0.49311426422451465,44.342196423745364,77.39826509467758,197.48653191947025,0.9994555945101959
ls__3,220.68871927151352,169.72240472294322,7.435177709498224,41.112603825717215,558.7640766132934,422.1277017240959,1.0056592281307353
ls__4,21.71651297012568,49.5452219667376,2.4998575742850844,0.4920625880654337,62.565781132255715,401.9840861281783,0.9990283924799354
ls__5,310.0762374284317,230.87283429158197,11.096146299950108,64.13135093438522,746.8990750540809,339.53657204543566,0.9998051229976465
ls__6,2.103048509273542,0.7547508322794825,0.036785621242839024,1.0131075254096717,3.5214300752330514,315.4010076933915,0.9990256406726354
ls__7,3.5803854063175278,0.3968135281144179,0.0216137575730968,2.8455547666359053,4.361179853164601,208.15413440625963,0.9990247384021874
n,0.6540722327157467,0.015483997884403727,0.0005167176684914856,0.6252085867746261,0.6853812877400515,767.2375955898679,0.9997727048113462
