,mean,sd,mc_error,hpd_2.5,hpd_97.5
n,0.18859868519525363,0.004234975288845533,0.00022720638771000866,0.18081861609396965,0.19681637115248757
b,0.8129135482652651,0.5446582383929331,0.03526731285879853,0.05767519034736729,1.894451540971961
s,0.2837704061940381,0.022624568449846384,0.0013168473671038127,0.24058037816702044,0.3272928519152406
ls__0,6.8626130388724755,1.0163226718939822,0.05968693027127655,4.888629983515452,8.852628528762466
ls__1,3.3817768211000425,0.3444706498210202,0.017298121347324186,2.654388397304497,4.03541142857511
ls__2,7.778305314367993,1.352882453331636,0.060372095660481837,5.38859692905807,10.661662532130567
ls__3,4.592226568067384,0.5251137248467184,0.029256357608548084,3.670277270391449,5.659079715234317
ls__4,8.353822120470426,1.6290798306634444,0.09340546890644,5.480474019463372,11.636089967373255
ls__5,8.736336941669382,1.2472575816530491,0.0733719707786171,6.348369736360178,11.09115143059616
ls__6,6.158674109838157,0.9329608530387458,0.047352135337697526,4.467048990901723,7.8598231601709205
ls__7,2.621463829191985,0.2635652328340607,0.013196453005983166,2.094081647891419,3.1006913955340636
ls__8,5.592948555795108,0.7964028452342053,0.03765566092794463,4.241928126468252,7.144622983459962
ls__9,8.527938400782734,1.386523440654209,0.06957817751881758,5.948713701379855,11.43294102526642
ls__10,4.962889479715729,0.7105115111917275,0.03504549024414368,3.7325772502418912,6.334783818438181
ls__11,9.305345869641247,1.4249875117044408,0.06337367104722157,6.770861362283565,12.188956114681037
ls__12,7.504864259249779,1.2299590307149053,0.054545877833565196,5.2982023257798865,10.066793416993304
