,mean,sd,mc_error,hpd_2.5,hpd_97.5
log_s,1.050,0.196,0.011,0.720,1.445
log_n,-0.251,0.012,0.000,-0.271,-0.222
log_ls__0,3.293,0.734,0.041,1.976,4.734
log_ls__1,1.084,0.461,0.022,0.357,2.110
log_ls__2,2.113,0.847,0.034,0.743,3.932
log_ls__3,3.965,0.648,0.034,2.738,5.142
log_ls__4,1.043,0.951,0.051,-0.463,3.208
log_ls__5,4.846,0.850,0.048,3.316,6.471
log_ls__6,5.797,0.526,0.025,4.869,6.891
log_ls__7,0.183,1.515,0.057,-2.814,3.008
log_ls__8,1.951,0.881,0.041,0.602,4.039
log_ls__9,0.095,0.406,0.023,-0.541,0.955
log_ls__10,1.335,0.279,0.021,0.855,1.717
s,2.916,0.597,0.035,1.830,3.969
ls__0,37.620,44.098,2.604,6.262,110.680
ls__1,3.309,1.783,0.087,0.943,6.971
ls__2,12.967,19.900,1.008,0.969,39.664
ls__3,67.047,66.214,3.627,12.987,155.405
ls__4,5.211,10.276,0.585,0.346,21.110
ls__5,196.192,275.433,17.662,22.056,607.781
ls__6,379.519,224.737,12.508,84.270,821.381
ls__7,3.766,8.182,0.377,0.039,16.234
ls__8,10.990,14.306,0.700,1.049,41.657
ls__9,1.203,0.568,0.033,0.530,2.448
ls__10,4.002,1.890,0.160,2.351,5.565
n,0.778,0.010,0.000,0.759,0.797
