sig_sd,ls,noise_sd,lml
5.174,10.256,7.414,-138.672
6.637,2.677,6.767,-137.775
5.822,4.523,6.961,-137.107
6.435,1.527,7.138,-139.235
31.663,21.758,7.396,-140.411
4.934,3.105,7.909,-138.197
7.425,106.264,6.402,-147.086
3.842,2.567,7.527,-138.438
10.101,6.833,6.377,-137.81
4.704,10.548,9.465,-141.44
3.16,2.327,7.449,-139.215
6.152,7.476,6.825,-137.51
3.686,4.212,7.711,-138.389
3.36,7.797,6.087,-140.097
6.843,17.287,6.158,-140.722
9.13,4.19,8.134,-138.978
3.441,3.579,8.991,-140.358
3.483,4.863,6.69,-138.21
5.029,5.054,8.857,-139.509
6.058,15.793,6.242,-140.413
10.79,3.94,5.67,-139.691
9.824,4.961,6.843,-137.85
5.872,2.01,8.815,-140.249
3.337,3.755,7.329,-138.417
11.984,5.468,5.959,-138.906
2.572,2.822,7.088,-139.852
5.087,2.516,6.425,-137.776
11.241,7.943,6.626,-137.946
7.084,4.332,6.273,-137.37
7.204,6.427,6.718,-137.268
14.115,2.927,7.971,-141.371
3.121,1.585,6.243,-140.657
37.845,31.041,8.07,-141.5
5.563,5.244,7.425,-137.473
7.546,7.31,6.822,-137.429
17.054,45.353,8.985,-142.877
4.464,3.367,5.887,-138.068
10.818,5.178,7.846,-138.866
5.345,4.379,7.032,-137.161
22.573,21.595,6.052,-140.611
5.275,5.533,6.225,-137.429
5.097,5.922,6.719,-137.347
6.492,3.757,8.699,-139.287
21.472,20.422,6.207,-140.209
7.585,3.271,9.155,-140.471
7.736,3.448,7.766,-138.319
4.029,4.902,6.69,-137.664
5.414,1.815,6.716,-138.492
5.601,13.162,8.155,-139.76
13.28,12.347,5.437,-140.713
