sig_sd,ls,noise_sd,lml
8.74,7.424,3.405,-60.573
13.223,6.157,3.908,-60.979
12.077,6.847,2.93,-60.401
12.33,4.631,3.391,-60.78
8.461,2.561,3.129,-60.986
10.136,1.715,2.549,-61.813
9.89,5.296,2.065,-63.313
9.595,9.85,3.346,-62.617
15.728,6.759,3.534,-60.897
7.104,4.388,3.29,-60.402
8.177,4.602,4.221,-61.199
13.2,8.982,2.849,-61.584
7.194,2.911,3.278,-61.034
10.034,3.296,2.946,-60.626
9.75,4.195,3.041,-60.224
8.904,5.782,3.896,-60.545
10.465,5.672,3.261,-60.166
12.934,1.835,4.415,-65.726
4.229,2.79,3.522,-65.233
12.447,8.817,4.425,-61.817
5.154,9.948,3.559,-66.625
8.209,3.254,3.668,-61.109
9.065,3.09,2.756,-60.506
11.274,3.818,1.923,-63.075
6.81,6.4,3.923,-61.126
11.244,1.988,2.814,-61.975
8.433,4.27,3.296,-60.219
16.822,5.921,2.624,-61.849
13.699,2.432,4.039,-64.166
11.575,5.844,3.806,-60.663
16.378,3.354,3.775,-63.512
4.848,3.258,4.63,-64.278
4.45,2.726,2.666,-64.789
16.113,2.605,2.99,-63.312
12.996,3.469,3.007,-61.383
7.476,3.97,2.915,-60.298
6.325,2.267,2.718,-61.549
10.087,6.667,3.862,-60.498
9.67,4.457,2.487,-60.721
9.326,3.915,4.174,-61.488
7.62,5.014,4.42,-61.455
12.713,4.649,2.465,-61.301
9.704,3.408,3.253,-60.7
11.895,6.628,2.75,-60.659
9.978,5.646,2.076,-63.517
9.604,5.096,4.907,-62.234
4.369,5.705,4.167,-63.935
14.838,5.488,3.874,-61.529
8.992,3.99,2.966,-60.191
7.136,3.99,2.544,-60.775
