sig_sd,ls,noise_sd,lml
23.789,5.062,4.212,-67.792
23.722,2.965,3.452,-71.356
30.74,12.497,4.887,-68.63
16.446,6.361,5.154,-67.218
18.773,9.496,5.856,-68.148
11.998,9.067,5.802,-68.883
11.301,5.259,5.197,-67.723
19.253,5.387,4.05,-66.951
10.277,4.3,4.462,-67.705
19.633,3.403,3.88,-69.368
13.808,10.572,5.044,-69.049
9.405,4.189,5.714,-69.011
21.741,8.042,5.485,-67.558
26.938,7.117,3.5,-67.864
19.329,5.833,3.847,-66.933
13.038,5.746,3.137,-68.316
8.699,8.497,6.524,-70.475
10.634,4.489,3.173,-68.456
56.236,13.209,3.363,-70.195
21.136,5.226,4.081,-67.245
12.884,5.173,5.906,-68.198
21.598,6.779,4.936,-67.272
16.379,6.828,4.168,-66.8
16.289,10.15,5.134,-68.212
19.57,8.282,4.647,-66.906
19.17,3.676,2.898,-70.612
15.141,4.818,4.745,-67.122
15.092,7.836,5.675,-67.753
8.591,7.29,5.505,-69.565
59.003,9.889,5.785,-70.102
10.364,8.484,4.612,-69.05
15.221,4.753,5.19,-67.549
19.132,5.621,6.378,-68.942
8.784,2.788,4.519,-70.02
22.976,6.179,3.73,-67.3
18.517,4.348,2.843,-69.572
19.435,7.072,4.605,-66.88
16.547,6.197,3.876,-66.849
24.802,9.307,5.025,-67.345
18.998,8.703,4.911,-67.139
23.067,8.702,3.665,-67.337
54.726,10.122,3.428,-69.229
27.768,4.738,3.674,-68.995
27.046,5.57,5.384,-68.854
20.593,9.848,5.912,-68.263
14.386,4.244,3.162,-68.034
16.042,14.287,6.336,-70.619
12.997,4.262,3.968,-67.102
39.153,9.453,4.071,-67.738
16.13,4.277,4.2,-67.271
15.807,7.704,6.611,-68.711
27.444,8.164,3.982,-67.214
38.482,7.659,4.449,-68.378
17.344,10.77,4.358,-68.632
14.571,3.845,6.504,-69.621
15.472,4.609,4.025,-66.927
36.839,18.804,11.445,-75.553
54.428,13.26,6.467,-70.539
11.013,4.465,4.324,-67.363
9.514,4.113,4.596,-68.182
21.394,9.309,4.271,-67.119
14.132,2.85,3.127,-69.746
17.89,3.531,3.133,-69.744
22.941,14.956,7.37,-70.88
12.411,2.964,3.347,-69.218
66.194,12.069,3.752,-69.051
17.595,8.126,5.7,-67.702
19.037,5.798,6.087,-68.508
23.146,5.714,3.954,-67.313
22.54,8.742,3.343,-68.023
13.881,5.284,3.701,-66.935
8.168,4.133,5.265,-69.453
21.148,7.276,4.711,-66.995
27.557,5.083,5.261,-69.193
18.269,7.141,3.383,-67.681
16.911,8.084,4.821,-67.035
31.757,9.184,4.197,-67.296
19.865,6.857,5.11,-67.263
24.583,7.482,4.309,-67.07
16.21,8.188,4.738,-67.084
14.076,4.549,5.063,-67.476
31.794,10.798,5.671,-68.44
18.868,6.21,3.368,-67.495
16.658,7.381,7.499,-69.808
10.231,5.956,4.563,-67.87
20.679,16.089,7.884,-71.61
16.802,6.808,4.608,-66.841
12.569,3.834,4.862,-67.816
13.381,7.659,5.224,-67.572
14.078,6.443,3.776,-67.171
12.443,4.207,3.629,-67.345
18.155,3.98,4.332,-68.007
10.898,4.699,4.028,-67.353
13.209,5.183,4.156,-66.85
16.206,10.891,5.859,-68.949
11.325,4.192,5.81,-68.567
9.049,4.98,4.577,-68.375
31.135,9.707,8.039,-71.249
11.275,2.929,4.375,-68.841
13.974,3.98,6.456,-69.394
