,mean,sd,mc_error,hpd_2.5,hpd_97.5
log_s1,5.39,0.29,0.005,4.82,5.933
log_s6,0.152,0.229,0.004,-0.301,0.583
log_alpha8,-2.109,0.055,0.001,-2.211,-1.994
log_l2,4.602,0.308,0.005,3.971,5.172
log_l4,4.492,0.309,0.005,3.859,4.901
log_l5,-0.245,0.173,0.003,-0.568,0.092
log_l7,0.592,0.301,0.005,0.011,1.158
log_l10,-2.133,0.267,0.004,-2.671,-1.641
ls_2,104.423,32.488,0.543,48.36,168.295
ls_4,93.041,23.478,0.386,45.781,131.542
ls_5,0.795,0.14,0.002,0.552,1.075
ls_7,1.889,0.565,0.009,0.941,3.025
ls_10,0.123,0.031,0.001,0.063,0.181
log_s3,1.094,0.393,0.006,0.267,1.784
log_s9,-1.797,0.165,0.003,-2.131,-1.504
s_1,228.55,67.786,1.081,115.359,363.24
s_3,3.216,1.225,0.019,1.02,5.484
s_6,1.195,0.274,0.004,0.71,1.742
s_9,0.168,0.027,0.0,0.117,0.22
alpha_8,0.122,0.007,0.0,0.107,0.134
log_n11,-1.649,0.055,0.001,-1.749,-1.536
n_11,0.193,0.011,0.0,0.174,0.215
