,mean,sd,mc_error,hpd_2.5,hpd_97.5
log_s1,5.657,0.377,0.005,4.919,6.403
log_s6,0.295,0.247,0.004,-0.17,0.794
log_alpha8,-2.102,0.177,0.003,-2.46,-1.766
log_l2,4.543,0.768,0.011,3.032,5.984
log_l4,4.493,0.295,0.005,3.903,4.908
log_l5,0.007,0.164,0.002,-0.314,0.321
log_l7,0.759,0.216,0.004,0.368,1.209
log_l10,-2.024,0.281,0.005,-2.612,-1.54
ls_2,124.485,99.301,1.515,8.134,321.789
ls_4,92.846,22.713,0.356,47.879,131.113
ls_5,1.021,0.168,0.002,0.721,1.368
ls_7,2.185,0.471,0.008,1.327,3.14
ls_10,0.137,0.036,0.001,0.069,0.208
log_s3,1.656,0.351,0.006,0.971,2.288
log_s9,-1.726,0.186,0.003,-2.088,-1.387
s_1,307.361,120.121,1.758,106.485,532.053
s_3,5.555,1.852,0.03,2.185,9.063
s_6,1.385,0.345,0.006,0.784,2.101
s_9,0.181,0.032,0.0,0.117,0.242
alpha_8,0.124,0.022,0.0,0.084,0.169
log_n11,-1.644,0.081,0.001,-1.785,-1.474
n_11,0.194,0.016,0.0,0.167,0.228
