sig_sd,ls,noise_sd,lml
3.661,1.918,3.877,-30.763
7.925,1.183,0.969,-30.692
7.556,3.866,1.394,-27.398
7.284,4.037,1.42,-27.856
6.527,2.612,1.722,-26.676
10.625,3.151,1.834,-26.709
5.33,1.497,1.628,-27.678
11.032,3.956,3.21,-28.604
22.546,4.763,1.586,-27.634
12.61,2.888,1.493,-27.249
6.874,2.153,1.289,-27.142
5.642,1.291,2.144,-28.186
12.017,2.886,2.176,-27.427
17.28,3.531,2.088,-27.809
5.837,2.59,2.142,-27.177
10.086,3.668,2.171,-26.979
16.329,5.353,1.272,-28.108
8.185,2.211,2.327,-27.382
10.294,3.481,1.52,-26.558
5.159,1.708,1.444,-27.555
8.29,2.312,1.17,-27.524
7.672,2.745,0.997,-28.454
7.347,1.649,2.192,-27.721
4.307,0.86,1.982,-30.228
6.871,2.666,2.04,-26.82
9.762,0.344,0.286,-32.171
6.071,3.458,2.874,-28.658
8.211,0.731,1.644,-30.528
15.869,5.779,3.105,-29.484
9.065,3.051,1.712,-26.519
34.745,5.827,2.131,-28.831
5.262,1.581,2.203,-27.803
4.179,1.877,2.027,-28.302
6.28,2.843,1.527,-26.816
7.502,3.073,1.608,-26.543
6.531,2.936,1.528,-26.757
4.325,2.141,1.211,-28.757
5.29,0.878,1.289,-30.049
11.057,3.788,2.335,-27.251
11.969,3.059,1.395,-27.09
12.196,1.486,1.195,-30.397
10.777,4.937,1.247,-28.506
11.774,4.346,1.222,-27.482
9.237,3.974,1.734,-26.846
10.137,1.576,1.151,-29.502
3.977,0.761,1.947,-31.263
6.079,2.364,1.152,-27.671
6.25,1.656,1.528,-27.355
4.797,2.212,2.172,-27.756
5.313,3.084,1.444,-27.77
10.303,2.871,1.39,-26.923
17.566,3.106,1.907,-28.113
9.41,2.881,2.803,-27.808
9.583,2.569,4.886,-30.647
11.224,3.012,1.358,-27.048
4.359,2.372,1.66,-28.082
8.215,2.005,1.706,-27.114
7.917,1.685,2.559,-28.161
5.029,2.565,1.697,-27.405
8.23,1.966,1.562,-27.185
11.703,2.239,1.559,-27.748
6.919,1.349,1.359,-28.353
6.551,2.115,1.206,-27.415
7.711,2.436,2.908,-27.94
8.966,2.066,1.503,-27.259
5.285,1.263,1.387,-28.483
17.268,3.949,1.447,-27.351
8.768,3.058,1.756,-26.516
5.359,2.285,1.891,-27.157
13.347,3.219,2.472,-27.808
14.197,4.062,2.03,-27.114
10.037,3.675,1.421,-26.668
6.436,2.449,2.09,-26.954
4.219,1.169,3.864,-30.613
20.162,4.578,1.517,-27.449
8.134,4.447,1.387,-28.293
5.407,1.734,1.802,-27.323
10.749,5.239,1.179,-29.586
7.411,1.954,1.463,-27.099
10.257,2.519,1.441,-27.116
8.09,2.131,2.401,-27.516
8.92,2.538,2.067,-26.985
9.617,2.485,1.457,-26.994
13.47,4.442,1.963,-27.111
8.768,1.351,1.678,-28.655
7.839,2.216,1.543,-26.844
10.801,5.109,2.418,-28.615
8.423,2.812,1.477,-26.613
9.083,3.251,1.767,-26.514
7.805,4.281,2.424,-28.406
8.878,2.27,2.386,-27.529
24.91,5.387,1.179,-28.666
4.097,2.263,1.758,-28.428
14.793,4.687,3.215,-29.0
11.745,4.162,2.32,-27.392
11.406,1.895,2.214,-28.545
4.155,1.732,1.432,-28.457
6.072,2.921,1.769,-26.92
12.863,3.519,2.117,-27.141
7.937,3.068,1.293,-26.885
