sig_sd,ls,noise_sd,lml
6.967,3.192,1.101,-41.358
7.571,2.772,1.393,-41.471
12.687,3.654,1.319,-41.865
4.6,1.704,1.111,-41.998
4.016,2.386,1.434,-42.849
10.665,3.745,1.05,-41.783
4.275,2.631,0.953,-42.889
4.58,1.663,1.389,-42.593
4.36,1.328,1.169,-42.848
8.212,1.931,1.295,-42.447
3.658,1.759,1.15,-42.75
4.66,2.217,1.139,-41.534
4.732,2.529,1.009,-41.835
9.484,2.32,0.742,-44.735
5.426,1.673,1.132,-41.893
5.384,1.926,1.006,-41.754
6.012,3.095,1.099,-41.64
4.648,2.533,1.236,-41.739
9.766,3.502,0.935,-42.043
5.555,1.149,0.953,-44.162
20.117,4.476,1.344,-43.019
14.019,4.034,1.06,-42.127
4.732,2.646,0.989,-42.087
3.497,1.475,1.693,-44.763
6.909,1.859,0.864,-42.53
4.051,1.821,0.866,-43.452
7.303,3.41,1.149,-41.707
8.866,2.23,1.368,-42.315
11.318,3.781,0.988,-42.058
7.288,2.955,1.224,-41.042
3.48,1.577,1.107,-43.2
3.876,1.966,1.179,-42.323
11.355,3.826,1.081,-41.806
7.623,2.937,1.017,-41.13
7.449,1.793,0.798,-43.297
27.159,5.04,0.921,-44.744
6.824,1.159,1.425,-45.15
5.599,3.019,0.982,-42.112
11.442,1.776,0.983,-43.626
4.986,1.055,1.268,-44.383
6.423,1.659,1.246,-42.288
5.827,2.329,1.378,-41.572
8.049,1.814,1.681,-44.23
7.958,2.727,0.831,-42.796
3.475,1.468,1.052,-43.386
4.705,2.926,1.043,-42.644
7.638,1.991,1.402,-42.496
10.829,2.951,0.95,-41.921
9.621,3.293,1.066,-41.211
3.669,1.128,2.408,-48.41
6.68,1.883,1.452,-42.603
13.165,2.443,1.079,-42.784
4.913,2.2,0.956,-41.964
4.461,1.975,1.185,-41.815
7.22,2.301,1.193,-41.318
7.446,2.793,1.267,-41.076
4.802,1.185,1.783,-45.448
8.104,2.827,1.146,-40.951
4.818,2.172,1.425,-42.038
5.276,2.541,1.367,-41.652
6.239,2.983,0.865,-42.625
3.475,1.486,1.549,-44.221
14.529,3.861,1.063,-41.963
9.873,2.08,1.044,-42.36
11.1,3.935,1.119,-41.985
13.625,2.518,1.158,-42.794
11.205,1.877,0.884,-43.565
17.358,4.037,1.268,-42.354
4.884,1.648,1.035,-42.013
8.738,1.718,1.07,-42.67
14.864,3.196,0.888,-43.159
3.583,1.968,1.384,-43.073
5.016,2.105,1.231,-41.518
3.699,2.108,1.188,-42.554
4.777,1.538,1.155,-42.198
5.266,2.159,1.29,-41.524
11.573,3.449,1.073,-41.429
7.823,3.542,1.121,-41.841
6.194,2.953,1.446,-41.998
3.813,1.431,1.345,-43.286
4.845,1.704,1.259,-42.104
5.758,3.352,1.578,-43.897
5.634,1.518,1.015,-42.232
3.171,1.861,1.152,-43.667
5.574,2.444,2.102,-44.983
7.426,3.399,1.077,-41.677
5.863,2.052,1.415,-42.012
27.655,2.829,1.088,-45.328
27.811,5.072,0.992,-44.198
7.956,2.829,1.148,-40.936
6.44,2.462,1.616,-42.465
6.331,2.446,1.0,-41.303
5.003,1.875,0.827,-43.147
15.498,3.618,1.647,-43.552
5.269,2.222,0.978,-41.687
7.737,2.118,1.027,-41.753
4.618,2.125,1.287,-41.757
7.215,2.054,1.63,-43.18
5.119,1.709,0.932,-42.214
3.964,1.928,1.377,-42.587
